Solution # - Weight - Value - Score
0 - 150 - 300 - 300.0
1 - 201 - 403 - 403.0
2 - 246 - 497 - 497.0
3 - 293 - 594 - 594.0
4 - 246 - 497 - 497.0
5 - 297 - 594 - 594.0
6 - 252 - 500 - 500.0
7 - 204 - 402 - 402.0
8 - 154 - 303 - 303.0
9 - 103 - 206 - 206.0
10 - 148 - 300 - 300.0
11 - 199 - 397 - 397.0
12 - 247 - 497 - 497.0
13 - 294 - 598 - 598.0
14 - 247 - 497 - 497.0
15 - 196 - 394 - 394.0
16 - 243 - 491 - 491.0
17 - 196 - 394 - 394.0
18 - 148 - 294 - 294.0
19 - 195 - 391 - 391.0
20 - 143 - 288 - 288.0
21 - 92 - 191 - 191.0
22 - 146 - 298 - 298.0
23 - 194 - 396 - 396.0
24 - 241 - 497 - 497.0
