Solution # - Weight - Value - Score
0 - 358 - 716 - 716.0
1 - 358 - 716 - 716.0
2 - 358 - 716 - 716.0
3 - 358 - 716 - 716.0
4 - 358 - 716 - 716.0
5 - 358 - 716 - 716.0
6 - 358 - 716 - 716.0
7 - 358 - 716 - 716.0
8 - 358 - 716 - 716.0
9 - 358 - 716 - 716.0
10 - 358 - 716 - 716.0
11 - 358 - 716 - 716.0
12 - 358 - 716 - 716.0
13 - 358 - 716 - 716.0
14 - 358 - 716 - 716.0
15 - 358 - 716 - 716.0
16 - 358 - 716 - 716.0
17 - 358 - 716 - 716.0
18 - 358 - 716 - 716.0
19 - 358 - 716 - 716.0
20 - 358 - 716 - 716.0
21 - 358 - 716 - 716.0
22 - 358 - 716 - 716.0
23 - 358 - 716 - 716.0
24 - 358 - 716 - 716.0
25 - 358 - 716 - 716.0
26 - 358 - 716 - 716.0
27 - 358 - 716 - 716.0
28 - 358 - 716 - 716.0
29 - 358 - 716 - 716.0
30 - 358 - 716 - 716.0
31 - 358 - 716 - 716.0
32 - 358 - 716 - 716.0
33 - 358 - 716 - 716.0
34 - 358 - 716 - 716.0
35 - 358 - 716 - 716.0
36 - 358 - 716 - 716.0
37 - 358 - 716 - 716.0
38 - 358 - 716 - 716.0
39 - 358 - 716 - 716.0
40 - 358 - 716 - 716.0
